식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴(μg),비타민 B6 / 피리독신(mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방산(g),EPA와 DHA의 합(mg),가돌레산(20:1) / 에이코센산(20:1)(mg),감마 리놀렌산(18:3(n-6))(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),도코사펜타에노산/토코사펜타엔산(22:5(n-3))(mg),DHA / 도코사헥사에노산/도코사헥사엔산(22:6(n-3))(mg),디호모리놀렌산/에이코사트리에노산(20:3(n-3))(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2(n-6))(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1(n-7))(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4(n-3))(mg),아라키돈산(20:4(n-6))(mg),아라키드산(20:0)(mg),알파 리놀렌산(18:3(n-3))(g),에루크산(22:1)(mg),에이코사디에노산(20:2(n-6))(mg),에이코사트리에노산(20:3(n-6))(mg),EPA / 에이코사펜타에노산(20:5(n-3))(mg),오메가3 지방산(g),오메가6 지방산(g),올레산(18:1(n-9))(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1(n-9t)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글라이신(mg),라이신(mg),류신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),토코페롤(mg),토코트리에놀(mg),알코올(g),출처코드,출처명,1회 섭취참고량,식품중량,품목제조보고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
P101-501000500-4538,金세기 떡국,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01501,떡,0100000,해당없음,010000005,떡류,00,해당없음,100g,229,,4.00,0.00,,52.00,0.50,,,,,,230,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,2000g,2011051807332,주식회사 죽암에프앤씨,해당없음,해당없음,N,,해당없음,2,수집,2026-01-23,2026-07-28 00:00:00
P101-501000500-4537,金세기 구멍이송송 한입빠방떡볶이떡,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01501,떡,0100000,해당없음,010000005,떡류,00,해당없음,100g,229,,4.00,0.00,,52.00,0.10,,,,,,230,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,2000g,2011051807350,주식회사 죽암에프앤씨,해당없음,해당없음,N,,해당없음,2,수집,2026-01-23,2026-07-28 00:00:00
P109-102010200-5189,호박을 내리다 茶,P,가공식품,1,가공식품,09,음료류,09102,액상차,0900001,다류,090000102,액상차,00,해당없음,100ml,13,,0.75,0.03,,2.34,1.99,,,,,,1,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,200ml,100ml,2016057023152,주식회사 다니엘컴퍼니,해당없음,해당없음,N,,해당없음,2,수집,2026-05-12,2026-07-28 00:00:00
P109-102010200-1937,헛개茶,P,가공식품,1,가공식품,09,음료류,09102,액상차,0900001,다류,090000102,액상차,00,해당없음,100ml,0,,0.00,0.00,,0.00,0.00,,,,,,6,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,200ml,500ml,20190413079199,동원시스템즈,해당없음,해당없음,N,,해당없음,2,수집,2024-05-04,2026-07-28 00:00:00
P109-102010200-3336,헛개차茶,P,가공식품,1,가공식품,09,음료류,09102,액상차,0900001,다류,090000102,액상차,00,해당없음,100ml,0,,0.00,0.00,,0.00,0.00,,,,,,5,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,200ml,500ml,200704431101030,(주)삼양패키징광혜원공장,해당없음,해당없음,N,,해당없음,2,수집,2025-08-22,2026-07-28 00:00:00
P109-102010200-5188,헛개를 내리다 茶,P,가공식품,1,가공식품,09,음료류,09102,액상차,0900001,다류,090000102,액상차,00,해당없음,100ml,12,,0.23,0.35,,1.98,1.71,,,,,,1,,,,,,,,,0.00,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,200ml,100ml,2016057023164,주식회사 다니엘컴퍼니,해당없음,해당없음,N,,해당없음,2,수집,2026-05-08,2026-07-28 00:00:00
P123-201020300-2959,햇반컵반 스팸？마요덮밥,P,가공식품,1,가공식품,23,즉석식품류,23201,밥류,2300002,즉석섭취·편의식품류,230000203,즉석조리식품,00,해당없음,100g,192,,3.65,7.31,,27.85,1.83,,,,,,347,,,,,,,,,13.70,1.83,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,210g,219g,19910144038703,씨제이제일제당주식회사,해당없음,해당없음,N,,해당없음,2,수집,2026-01-02,2026-07-28 00:00:00
P123-201020300-2958,햇반컵반 스팸？김치덮밥,P,가공식품,1,가공식품,23,즉석식품류,23201,밥류,2300002,즉석섭취·편의식품류,230000203,즉석조리식품,00,해당없음,100g,145,,3.59,3.19,,25.50,2.39,,,,,,530,,,,,,,,,3.98,1.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,210g,251g,19910144038794,씨제이제일제당주식회사,해당없음,해당없음,N,,해당없음,2,수집,2026-01-02,2026-07-28 00:00:00
P117-100010100-1568,한끼통살 오븐 순살 닭다리 저당 버터커리맛 ,P,가공식품,1,가공식품,17,식육가공품 및 포장육,17100,햄,1700001,햄류(축산물가공품),170000101,햄,00,해당없음,100g,120,,15.00,4.30,,5.00,1.00,,,,,,760,,,,,,,,,75.00,1.60,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,30g,100g,20240371098122,농업회사법인주식회사다온,해당없음,해당없음,N,,해당없음,2,수집,2025-06-10,2026-07-28 00:00:00
P116-705060000-1436,프리미엄 곡물 효소 골드 with 카무트？브랜드 밀,P,가공식품,1,가공식품,16,농산가공식품류,16705,기타 농산가공품,1600006,효소식품,160000600,해당없음,00,해당없음,100g,402,,9.71,5.61,,78.17,39.06,,,,,,129,,,,,,,,,0.00,3.89,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,,90g,20080399004167,고려인삼,해당없음,해당없음,N,,해당없음,2,수집,2026-05-08,2026-07-28 00:00:00
P101-206000200-0454,"퓔렌 프로틴 츄 망고향
(퓔렌 프로틴 츄)",P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01206,캐러멜,0100000,해당없음,010000002,캔디류,00,해당없음,100g,405,,40.10,12.60,,33.00,0.00,,,,,,257,,,,,,,,,0.00,11.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,10g,650g,19930309017171,(주)한샘식품,해당없음,해당없음,N,,해당없음,2,수집,2024-12-31,2026-07-28 00:00:00
P120-600060000-3687,코다노 바삭 통새우 튀김 ,P,가공식품,1,가공식품,20,수산가공식품류,20600,기타 수산가공품,2000006,기타 수산물가공품,200000600,해당없음,00,해당없음,100g,235,,15.70,11.90,,16.30,0.00,,,,,,202,,,,,,,,,124.40,2.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,,1000g,2019014484093,초산씨푸드(주),해당없음,해당없음,N,,해당없음,2,수집,2026-05-27,2026-07-28 00:00:00
P101-107000100-1644,"찹쌀유과
(찹쌀연사유과)",P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01107,전통과자,0100000,해당없음,010000001,과자,00,해당없음,100g,406,,1.90,9.10,,79.20,27.70,,,,,,9,,,,,,,,,0.00,0.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,30g,3500g,202206437491,농업회사법인 주식회사 다정성푸드,해당없음,해당없음,N,,해당없음,2,수집,2024-12-31,2026-07-28 00:00:00
P102-103010300-1219,"찰떡아이스 홈
(찰떡아이스홈 통팥)",P,가공식품,1,가공식품,02,빙과류,02103,아이스밀크,0200001,아이스크림류(축산물가공품),020000103,아이스밀크,00,해당없음,100ml,140,,2.00,6.00,,19.00,14.00,,,,,,65,,,,,,,,,10.00,4.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100ml,660ml,19960230001554,롯데웰푸드(주),해당없음,해당없음,N,,해당없음,2,수집,2024-12-31,2026-07-28 00:00:00
P101-107000100-0831,제주메밀金부각,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01107,전통과자,0100000,해당없음,010000001,과자,00,해당없음,100g,515,,9.19,27.89,,56.69,0.18,,,,,,538,,,,,,,,,3.31,6.03,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,30g,100g,202104962355,농업회사법인유한회사하이오백,해당없음,해당없음,N,,해당없음,2,수집,2024-10-07,2026-07-28 00:00:00
P109-102010200-2312,인산 사시사철 무？생강진액,P,가공식품,1,가공식품,09,음료류,09102,액상차,0900001,다류,090000102,액상차,00,해당없음,100g,49,,0.98,0.04,,11.19,7.21,,,,,,90,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,200ml,84g,19860443015750,(주)네이처텍,해당없음,해당없음,N,,해당없음,2,수집,2025-02-26,2026-07-28 00:00:00
P117-501050100-1522,요리樂언양식소불고기,P,가공식품,1,가공식품,17,식육가공품 및 포장육,17501,양념육,1700005,양념육류(축산물가공품),170000501,양념육,00,해당없음,100g,181,,14.00,8.00,,14.00,6.00,,,,,,384,,,,,,,,,40.00,3.30,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,400g,199801890011278,(주)미트뱅크,해당없음,해당없음,N,,해당없음,2,수집,2024-07-11,2026-07-28 00:00:00
P117-501050100-1521,요리樂양념제육볶음,P,가공식품,1,가공식품,17,식육가공품 및 포장육,17501,양념육,1700005,양념육류(축산물가공품),170000501,양념육,00,해당없음,100g,176,,13.00,7.00,,15.00,6.00,,,,,,475,,,,,,,,,36.00,2.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,500g,199801890011277,(주)미트뱅크,해당없음,해당없음,N,,해당없음,2,수집,2024-07-11,2026-07-28 00:00:00
P117-501050100-3709,요리樂양념소찜갈비,P,가공식품,1,가공식품,17,식육가공품 및 포장육,17501,양념육,1700005,양념육류(축산물가공품),170000501,양념육,00,해당없음,100g,163,,11.00,8.00,,11.00,7.00,,,,,,512,,,,,,,,,31.00,3.50,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,600g,199801890011384,(주)미트뱅크,해당없음,해당없음,N,,해당없음,2,수집,2025-08-08,2026-07-28 00:00:00
P117-501050100-1520,요리樂양념소불고기,P,가공식품,1,가공식품,17,식육가공품 및 포장육,17501,양념육,1700005,양념육류(축산물가공품),170000501,양념육,00,해당없음,100g,139,,16.00,4.40,,9.00,6.00,,,,,,380,,,,,,,,,28.00,2.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,400g,199801890011276,(주)미트뱅크,해당없음,해당없음,N,,해당없음,2,수집,2024-07-11,2026-07-28 00:00:00
P117-501050100-1519,요리樂두툼칼집구이,P,가공식품,1,가공식품,17,식육가공품 및 포장육,17501,양념육,1700005,양념육류(축산물가공품),170000501,양념육,00,해당없음,100g,191,,14.00,9.00,,13.00,4.00,,,,,,373,,,,,,,,,42.00,2.70,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,800g,199801890011279,(주)미트뱅크,해당없음,해당없음,N,,해당없음,2,수집,2024-07-11,2026-07-28 00:00:00
